location,People_Vaccinated,Population,Vaccination_Rate
Gibraltar,42175,32677,129.07%
Tokelau,2203,1893,116.38%
Qatar,2852178,2695131,105.83%
United Arab Emirates,9991089,9441138,105.83%
Nauru,13106,12691,103.27%
Brunei,451149,449002,100.48%
Pitcairn,47,47,100.00%
Macao,679703,695180,97.77%
Cuba,10805570,11212198,96.37%
Portugal,9821414,10270857,95.62%
Hong Kong,6919889,7488863,92.40%
Chile,18088517,19603736,92.27%
Nicaragua,6404524,6948395,92.17%
Vietnam,90497674,98186856,92.17%
China,1310292000,1425887360,91.89%
Taiwan,21899240,23893396,91.65%
Singapore,5160551,5637022,91.55%
Cambodia,15316670,16767851,91.35%
Nepal,27883196,30547586,91.28%
Argentina,41529058,45510324,91.25%
Cayman Islands,62113,68722,90.38%
Canada,34742937,38454328,90.35%
Malta,478953,533293,89.81%
Costa Rica,4650636,5180836,89.77%
Peru,30563708,34049588,89.76%
Bhutan,699116,782457,89.35%
Cook Islands,15112,17032,88.73%
Bangladesh,151507162,171186368,88.50%
Brazil,189643431,215313504,88.08%
Uruguay,3010451,3422796,87.95%
Spain,41351234,47558632,86.95%
Mauritius,1123773,1299478,86.48%
South Korea,44784499,51815808,86.43%
Italy,50936719,59037472,86.28%
Tuvalu,9763,11335,86.13%
Samoa,191403,222390,86.07%
Guernsey,54223,63329,85.62%
Ecuador,15333873,18001002,85.18%
Aruba,90546,106459,85.05%
Australia,22231734,26177410,84.93%
Japan,104705133,123951696,84.47%
Bahrain,1241174,1472237,84.31%
Niue,1638,1952,83.91%
Scotland,4549556,5466000,83.23%
Iceland,309770,372903,83.07%
New Zealand,4302330,5185289,82.97%
Colombia,43012174,51874028,82.92%
Malaysia,28138276,33938216,82.91%
Seychelles,88520,107135,82.62%
Isle of Man,69560,84534,82.29%
Ireland,4112237,5023108,81.87%
Wales,2592226,3170000,81.77%
Tonga,87342,106867,81.73%
Finland,4524288,5540745,81.65%
Kuwait,3457498,4268886,80.99%
Saint Helena,4361,5401,80.74%
Denmark,4746522,5882259,80.69%
France,54677678,67813000,80.63%
England,45417090,56550000,80.31%
Panama,3533477,4408582,80.15%
Norway,4346995,5434324,79.99%
United States,270227181,338289856,79.88%
United Kingdom,53813491,67508936,79.71%
Thailand,57005497,71697024,79.51%
Belgium,9261641,11655923,79.46%
Monaco,28875,36491,79.13%
Rwanda,10884714,13776702,79.01%
Northern Cyprus,301673,382836,78.80%
Faeroe Islands,41715,53117,78.53%
Sri Lanka,17143761,21832150,78.53%
Venezuela,22157232,28301700,78.29%
San Marino,26357,33690,78.23%
Laos,5888649,7529477,78.21%
Germany,64876299,83369840,77.82%
Austria,6899873,8939617,77.18%
Kiribati,100900,131237,76.88%
Myanmar,41551927,54179312,76.69%
Fiji,712025,929769,76.58%
Greece,7938031,10384972,76.44%
Maldives,399308,523798,76.23%
Mexico,97179493,127504120,76.22%
Jersey,84365,110796,76.14%
Bermuda,48554,64207,75.62%
